"Statistic Label","Year","Gross Vehicle Weight","Fuel Type","Type of Carriage","Licensing Authority","UNIT","VALUE"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Clare","Number","9771"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Cork","Number","45939"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Cavan","Number","9357"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Carlow","Number","6493"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Donegal","Number","16832"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Dublin","Number","84528"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Galway","Number","21847"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Kildare","Number","19335"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Kilkenny","Number","9279"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Kerry","Number","13285"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Longford","Number","4445"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Louth","Number","8728"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Limerick","Number","14987"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Leitrim","Number","3830"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Laois","Number","6904"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Meath","Number","17503"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Monaghan","Number","8901"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Mayo","Number","13972"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Offaly","Number","7147"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Roscommon","Number","6726"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Sligo","Number","6604"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Tipperary","Number","15575"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Waterford","Number","8328"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Wicklow","Number","10621"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Westmeath","Number","8776"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Co. Wexford","Number","15388"
"Goods vehicles","2023","All vehicle weights","Diesel","Main use (own account and hire or reward)","Ireland","Number","395101"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Clare","Number","698"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Cork","Number","2501"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Cavan","Number","503"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Carlow","Number","243"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Donegal","Number","672"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Dublin","Number","5828"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Galway","Number","749"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Kildare","Number","829"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Kilkenny","Number","353"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Kerry","Number","427"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Longford","Number","148"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Louth","Number","416"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Limerick","Number","641"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Leitrim","Number","151"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Laois","Number","325"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Meath","Number","834"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Monaghan","Number","214"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Mayo","Number","391"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Offaly","Number","360"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Roscommon","Number","294"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Sligo","Number","219"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Tipperary","Number","695"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Waterford","Number","201"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Wicklow","Number","490"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Westmeath","Number","468"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Co. Wexford","Number","1246"
"Goods vehicles","2023","All vehicle weights","Diesel","Hire or reward","Ireland","Number","19896"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Clare","Number","9073"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Cork","Number","43438"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Cavan","Number","8854"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Carlow","Number","6250"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Donegal","Number","16160"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Dublin","Number","78700"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Galway","Number","21098"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Kildare","Number","18506"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Kilkenny","Number","8926"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Kerry","Number","12858"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Longford","Number","4297"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Louth","Number","8312"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Limerick","Number","14346"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Leitrim","Number","3679"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Laois","Number","6579"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Meath","Number","16669"
"Goods vehicles","2023","All vehicle weights","Diesel","Own account","Co. Monaghan","Number","8687"
